ID,row,col
273,5349,5343
274,5349,5343
275,5349,5342
276,5349,5342
277,5349,5341
278,5349,5341
279,5350,5340
280,5350,5340
281,5350,5339
282,5350,5338
283,5350,5338
284,5350,5337
285,5350,5336
286,5350,5335
287,5350,5335
288,5350,5334
289,5350,5334
290,5350,5335
291,5350,5336
292,5350,5337
293,5350,5337
294,5350,5338
295,5350,5339
296,5350,5339
297,5350,5340
298,5349,5344
299,5349,5343
300,5350,5343
301,5350,5343
302,5350,5342
303,5350,5342
304,5350,5341
305,5350,5341
306,5350,5340
307,5350,5339
308,5350,5339
309,5350,5338
310,5350,5337
311,5350,5336
312,5350,5336
313,5350,5335
314,5350,5334
315,5350,5334
316,5350,5335
317,5350,5336
318,5350,5337
319,5350,5338
320,5350,5338
321,5350,5339
322,5350,5340
323,5350,5340
324,5350,5341
325,5350,5344
326,5350,5344
327,5350,5344
328,5350,5343
329,5350,5343
330,5350,5342
331,5350,5342
332,5350,5341
333,5350,5340
334,5350,5340
335,5350,5339
336,5350,5338
337,5350,5337
338,5350,5337
339,5350,5336
340,5350,5335
341,5350,5335
342,5350,5336
343,5350,5337
344,5350,5338
345,5350,5339
346,5350,5339
347,5350,5340
348,5350,5341
349,5350,5341
350,5350,5342
351,5350,5342
352,5350,5345
353,5350,5345
354,5350,5344
355,5351,5344
356,5351,5343
357,5351,5343
358,5351,5342
359,5351,5342
360,5351,5341
361,5351,5340
362,5351,5339
363,5351,5339
364,5351,5338
365,5351,5336
366,5351,5337
367,5351,5338
368,5351,5339
369,5351,5340
370,5351,5341
371,5351,5341
372,5351,5342
373,5351,5342
374,5351,5343
375,5351,5344
376,5351,5344
377,5351,5343
378,5351,5343
379,5351,5342
380,5351,5341
381,5351,5341
382,5351,5340
383,5351,5339
384,5351,5338
385,5351,5339
386,5351,5340
387,5351,5341
388,5351,5342
389,5351,5342
390,5351,5343
391,5351,5344
392,5351,5344
393,5352,5344
394,5352,5343
395,5352,5343
396,5352,5342
397,5352,5341
398,5352,5340
399,5352,5339
400,5352,5340
