,row,col,change,rc
87,6,45,1.0821714784267582,a6b45
88,7,6,1.0816420948738512,a7b6
89,7,7,1.0815722862588768,a7b7
90,7,8,1.081893428203849,a7b8
91,7,9,1.0823123702422144,a7b9
92,7,10,1.082493858131488,a7b10
93,7,11,1.0826250865051903,a7b11
94,7,12,1.0827170415224914,a7b12
95,7,13,1.0827718858131488,a7b13
96,7,14,1.0827981833910034,a7b14
97,7,15,1.0827847708196543,a7b15
98,7,34,1.08282048470227,a7b34
99,7,35,1.08278396298808,a7b35
100,7,36,1.0827895328719723,a7b36
101,7,37,1.082751642128351,a7b37
102,7,38,1.082685643216352,a7b38
103,7,39,1.082584731906546,a7b39
104,7,40,1.082424484668532,a7b40
105,7,41,1.082216045279535,a7b41
106,7,42,1.0819526816608998,a7b42
107,7,43,1.081621107266436,a7b43
108,7,44,1.0812510276550764,a7b44
109,8,7,1.0804661486239957,a8b7
110,8,8,1.0809224048442907,a8b8
111,8,9,1.0813093425605536,a8b9
112,8,10,1.0816335640138408,a8b10
113,8,11,1.0819040657439447,a8b11
114,8,12,1.082122750865052,a8b12
115,8,13,1.0822990484429065,a8b13
116,8,14,1.0824493696129827,a8b14
117,8,15,1.0826911356512263,a8b15
118,8,33,1.0825683633351548,a8b33
119,8,34,1.082585397790427,a8b34
120,8,35,1.0825028546712803,a8b35
121,8,36,1.0823812283737024,a8b36
122,8,37,1.0822271430770007,a8b37
123,8,38,1.082032724333696,a8b38
124,8,39,1.0818170869589143,a8b39
125,8,40,1.0815115487129374,a8b40
126,8,41,1.0811489915384753,a8b41
127,8,42,1.0807312088750374,a8b42
128,8,43,1.0802436438157808,a8b43
129,8,44,1.079647852258026,a8b44
130,8,45,1.078567490351361,a8b45
131,9,6,1.077567725007938,a9b6
132,9,7,1.0786350096532045,a9b7
133,9,8,1.079243858131488,a9b8
134,9,9,1.079773356401384,a9b9
135,9,10,1.0802332179930796,a9b10
136,9,11,1.0806289792387545,a9b11
137,9,12,1.0809735294117646,a9b12
138,9,13,1.0812652249134946,a9b13
139,9,14,1.0814980803447178,a9b14
140,9,15,1.0814901314986198,a9b15
141,9,16,1.0815166175304642,a9b16
142,9,17,1.08142235598155,a9b17
143,9,30,1.0832791151594015,a9b30
144,9,32,1.0818563965754553,a9b32
145,9,33,1.0819304987570173,a9b33
146,9,34,1.081819982698962,a9b34
147,9,35,1.0816332179930797,a9b35
148,9,36,1.081409688581315,a9b36
149,9,37,1.0811439683700643,a9b37
150,9,38,1.0808321817304967,a9b38
151,9,39,1.0804691604276793,a9b39
152,9,40,1.0800294117647058,a9b40
153,9,41,1.0795497404844292,a9b41
154,9,42,1.078990311418685,a9b42
155,9,43,1.0783521919075363,a9b43
156,9,44,1.0780978491035793,a9b44
157,9,45,1.078136751851047,a9b45
158,10,0,1.0676225827265449,a10b0
159,10,1,1.0687924632163364,a10b1
160,10,2,1.0697247530254124,a10b2
161,10,3,1.0715474867720531,a10b3
162,10,4,1.0727676919637539,a10b4
163,10,5,1.0739525801969572,a10b5
164,10,6,1.075412930052457,a10b6
165,10,7,1.0763045847750865,a10b7
166,10,8,1.0770476643598617,a10b8
167,10,9,1.0777115916955016,a10b9
168,10,10,1.0782996539792389,a10b10
169,10,11,1.0788209342560553,a10b11
170,10,12,1.0792790657439446,a10b12
171,10,13,1.079679671280277,a10b13
172,10,14,1.080028114186851,a10b14
173,10,15,1.0803287197231835,a10b15
174,10,16,1.0805890138408305,a10b16
175,10,17,1.0805535088800537,a10b17
176,10,18,1.0803677747175333,a10b18
177,10,30,1.0811414535074266,a10b30
178,10,31,1.0809437448726917,a10b31
179,10,32,1.080911764293556,a10b32
180,10,33,1.080714446366782,a10b33
181,10,34,1.0804807093425606,a10b34
182,10,35,1.080203892733564,a10b35
183,10,36,1.0798831314878894,a10b36
184,10,37,1.0795118512110726,a10b37
185,10,38,1.079086678200692,a10b38
186,10,39,1.07860329564762,a10b39
187,10,40,1.0780826611612295,a10b40
188,10,41,1.0774320069204153,a10b41
189,10,42,1.0767343425605536,a10b42
190,10,43,1.0763915129540107,a10b43
191,10,44,1.0765733676998201,a10b44
192,11,0,1.0644905387963277,a11b0
193,11,1,1.066104152249135,a11b1
194,11,2,1.0675990481526216,a11b2
195,11,3,1.068999134948097,a11b3
196,11,4,1.0702729238754325,a11b4
197,11,5,1.0714385813148788,a11b5
198,11,6,1.0725017301038062,a11b6
199,11,7,1.073467733564014,a11b7
200,11,8,1.0743444636678199,a11b8
201,11,9,1.0751348615916956,a11b9
202,11,10,1.075844723183391,a11b10
203,11,11,1.0764834775086505,a11b11
204,11,12,1.0770498269896194,a11b12
205,11,13,1.077554238754325,a11b13
206,11,14,1.0779985294117647,a11b14
207,11,15,1.0783884948096887,a11b15
208,11,16,1.0787242214532873,a11b16
209,11,17,1.0790173875432527,a11b17
210,11,18,1.0790125590067667,a11b18
211,11,29,1.0788091956354384,a11b29
212,11,30,1.0794460825973462,a11b30
213,11,31,1.079388062283737,a11b31
214,11,32,1.0791635813148788,a11b32
215,11,33,1.0788976643598616,a11b33
216,11,34,1.0785853806228374,a11b34
217,11,35,1.0782243944636678,a11b35
218,11,36,1.0778126297577855,a11b36
219,11,37,1.0773439544473247,a11b37
220,11,38,1.0768137694863567,a11b38
221,11,39,1.0762149191166985,a11b39
222,11,40,1.0755489113908063,a11b40
223,11,41,1.0747994693007585,a11b41
224,11,42,1.0746746622829555,a11b42
225,11,43,1.074140139325343,a11b43
226,12,0,1.0610567625444562,a12b0
227,12,1,1.0619576989619377,a12b1
228,12,2,1.0636074394463668,a12b2
229,12,3,1.0651365051903114,a12b3
230,12,4,1.0665495674740484,a12b4
231,12,5,1.0678506920415225,a12b5
232,12,6,1.069046366782007,a12b6
233,12,7,1.0701414359861592,a12b7
234,12,8,1.071143598615917,a12b8
235,12,9,1.0720535467128027,a12b9
236,12,10,1.072880276816609,a12b10
237,12,11,1.073626989619377,a12b11
238,12,12,1.0742964532871973,a12b12
239,12,13,1.0748968858131487,a12b13
240,12,14,1.0754335640138408,a12b14
241,12,15,1.0759076124567475,a12b15
242,12,16,1.0763217128027682,a12b16
243,12,17,1.076682266435986,a12b17
244,12,18,1.0768415158495406,a12b18
245,12,19,1.0767138180544313,a12b19
246,12,20,1.0766641510345285,a12b20
247,12,21,1.0767982920016468,a12b21
248,12,22,1.0768079351405055,a12b22
249,12,27,1.0766473669699477,a12b27
250,12,28,1.0766080740627444,a12b28
251,12,29,1.0772108483562992,a12b29
252,12,30,1.077381141868512,a12b30
253,12,31,1.0771456747404846,a12b31
254,12,32,1.0768634785625244,a12b32
255,12,33,1.0765318171696814,a12b33
256,12,34,1.0761472824403218,a12b34
257,12,35,1.0757142666779038,a12b35
258,12,36,1.0752075119171236,a12b36
259,12,37,1.074645921993961,a12b37
260,12,38,1.0740150519031142,a12b38
261,12,39,1.0733103806228375,a12b39
262,12,40,1.0725375432525952,a12b40
263,12,41,1.072144519462004,a12b41
264,13,0,1.0553873503423914,a13b0
265,13,1,1.057377508650519,a13b1
266,13,2,1.059163062283737,a13b2
267,13,3,1.0608268166089965,a13b3
268,13,4,1.0623717128027683,a13b4
269,13,5,1.0638016435986157,a13b5
270,13,6,1.0651233564013842,a13b6
271,13,7,1.066339186851211,a13b7
272,13,8,1.0674590830449828,a13b8
273,13,9,1.0684839100346022,a13b9
274,13,10,1.0694147058823529,a13b10
275,13,11,1.0702640138408304,a13b11
276,13,12,1.071033823529412,a13b12
277,13,13,1.071726124567474,a13b13
278,13,14,1.072346366782007,a13b14
279,13,15,1.0728960207612457,a13b15
280,13,16,1.0733853565800646,a13b16
281,13,17,1.0738130369981773,a13b17
282,13,18,1.0741769409287136,a13b18
283,13,19,1.0744909440403576,a13b19
284,13,20,1.07475,a13b20
285,13,21,1.0749544117647059,a13b21
286,13,22,1.0750952876370288,a13b22
287,13,23,1.07472403628392,a13b23
288,13,24,1.074322465747466,a13b24
289,13,25,1.074325100376206,a13b25
290,13,26,1.0749153841816943,a13b26
291,13,27,1.0751634895612923,a13b27
292,13,28,1.0750518166089964,a13b28
293,13,29,1.0748712802768168,a13b29
294,13,30,1.074642214532872,a13b30
295,13,31,1.0743625432525952,a13b31
296,13,32,1.0740271288567491,a13b32
297,13,33,1.0736333830671658,a13b33
298,13,34,1.0731852447057812,a13b34
299,13,35,1.0726655432063743,a13b35
300,13,36,1.0720858452510458,a13b36
301,13,37,1.0715705333393186,a13b37
302,13,38,1.0717453986130665,a13b38
303,13,39,1.0699054746309675,a13b39
304,13,40,1.0693078258927466,a13b40
305,13,41,1.0705271626695272,a13b41
306,14,0,1.0522563727253056,a14b0
307,14,1,1.0523806228373702,a14b1
308,14,2,1.0542945501730103,a14b2
309,14,3,1.0560801038062284,a14b3
310,14,4,1.0577485294117646,a14b4
311,14,5,1.0592978373702422,a14b5
312,14,6,1.0607391003460207,a14b6
313,14,7,1.0620687716262975,a14b7
314,14,8,1.0632976643598615,a14b8
315,14,9,1.0644253460207613,a14b9
316,14,10,1.065464446366782,a14b10
317,14,11,1.0664096885813148,a14b11
318,14,12,1.0672692906574395,a14b12
319,14,13,1.068049221453287,a14b13
320,14,14,1.068749394463668,a14b14
321,14,15,1.069377629285656,a14b15
322,14,16,1.0699313941968471,a14b16
323,14,17,1.0704186851211073,a14b17
324,14,18,1.0708396193771625,a14b18
325,14,19,1.071198251531476,a14b19
326,14,20,1.071498476281837,a14b20
327,14,21,1.0717342056284354,a14b21
328,14,22,1.0719186851211073,a14b22
329,14,23,1.0720421280276815,a14b23
330,14,24,1.0721141003460208,a14b24
331,14,25,1.0721306228373702,a14b25
332,14,26,1.072090570934256,a14b26
333,14,27,1.0719961072664361,a14b27
334,14,28,1.0718461937716264,a14b28
335,14,29,1.0716342560553633,a14b29
336,14,30,1.0713741349480967,a14b30
337,14,31,1.0710489686420501,a14b31
338,14,32,1.0706650365364712,a14b32
339,14,33,1.070215956126177,a14b33
340,14,34,1.0696972263710658,a14b34
341,14,35,1.069113316585784,a14b35
342,14,36,1.0685091833991156,a14b36
343,14,37,1.0690433853705368,a14b37
344,14,38,1.0665416917073338,a14b38
345,14,39,1.066703813290587,a14b39
346,14,40,1.0671328331755165,a14b40
347,15,0,1.0472903367396256,a15b0
348,15,1,1.0473953393900797,a15b1
349,15,2,1.0490070934256055,a15b2
350,15,3,1.0509134083044984,a15b3
351,15,4,1.0526965397923875,a15b4
352,15,5,1.0543584775086505,a15b5
353,15,6,1.0559067474048442,a15b6
